"","coef"
"Intercept",-2.39
"log age",0.12
"log size",-0.03
"log devs",0.12
"log commits",1.04
"C",0.16
"C++",0.03
"Clojure",-0.24
"Coffeescript",0.08
"Erlang",0.03
"Go",0.19
"Haskell",-0.36
"Java",0.12
"Javascript",-0.24
"Objective-C",0.03
"Perl",0.11
"Php",0.11
"Python",0.04
"Ruby",-0.01
"Scala",-0.2
"Typescript",0.15
