"","coef","pVal"
"Intercept",-2.25,0
"log age",0.1,0
"log size",-0.04,0.005
"log devs",0.16,0
"log commits",1.03,0
"C",0.03,0.733
"C#",0.04,0.686
"C++",0.12,0.252
"Clojure",-0.3,0.009
"Coffeescript",0.03,0.739
"Erlang",0.23,0.027
"Go",0.21,0.042
"Haskell",-0.11,0.315
"Java",0.2,0.056
"Javascript",-0.02,0.885
"Objective-C",-0.17,0.107
"Perl",0.06,0.552
"Php",0.09,0.39
"Python",-0.01,0.936
"Ruby",-0.19,0.074
"Scala",-0.23,0.031
"Typescript",0.01,0.948
