"","coef","pVal"
"Intercept",-2.55,0
"log age",0.11,0
"log size",-0.03,0.046
"log devs",0.11,0
"log commits",1.06,0
"C",0.03,0.724
"C#",0.16,0.137
"C++",0,0.977
"Clojure",-0.43,0
"Coffeescript",0.08,0.459
"Erlang",0.05,0.656
"Go",0.26,0.01
"Haskell",-0.4,0
"Java",-0.06,0.536
"Javascript",0.11,0.317
"Objective-C",0.02,0.83
"Perl",0.07,0.465
"Php",0.06,0.572
"Python",-0.07,0.473
"Ruby",-0.04,0.664
"Scala",-0.21,0.045
"Typescript",0.38,0
