"","coef"
"Intercept",-2.23
"log age",0.12
"log size",-0.04
"log devs",0.26
"log commits",0.97
"C",0.04
"C++",0.08
"Clojure",-0.4
"Coffeescript",0.22
"Erlang",0.18
"Go",0.08
"Haskell",-0.16
"Java",0.15
"Javascript",0.08
"Objective-C",0.16
"Perl",-0.23
"Php",0.1
"Python",-0.05
"Ruby",-0.29
"Scala",-0.34
"Typescript",0.38
