"","coef"
"Intercept",-2.73
"log age",0.19
"log size",-0.04
"log devs",0.13
"log commits",1.04
"C",0.21
"C++",0.26
"Clojure",-0.13
"Coffeescript",0.2
"Erlang",-0.05
"Go",0.3
"Haskell",-0.3
"Java",-0.41
"Javascript",0.03
"Objective-C",0.19
"Perl",-0.01
"Php",0
"Python",-0.19
"Ruby",-0.16
"Scala",-0.16
"Typescript",0.22
