"","coef","pVal"
"Intercept",-2.55,0
"log age",0.09,0
"log size",-0.02,0.152
"log devs",0.1,0.001
"log commits",1.07,0
"C",0.24,0.018
"C#",-0.12,0.274
"C++",0.16,0.125
"Clojure",-0.31,0.005
"Coffeescript",0.21,0.038
"Erlang",0.21,0.042
"Go",0.21,0.035
"Haskell",-0.24,0.02
"Java",-0.09,0.377
"Javascript",-0.29,0.009
"Objective-C",-0.12,0.276
"Perl",-0.03,0.758
"Php",0.17,0.09
"Python",0.08,0.416
"Ruby",-0.2,0.07
"Scala",-0.16,0.136
"Typescript",0.26,0.01
