"","coef"
"Intercept",-2.82
"log age",0.2
"log size",-0.03
"log devs",0.26
"log commits",0.96
"C",-0.17
"C++",-0.05
"Clojure",0.06
"Coffeescript",0.2
"Erlang",-0.15
"Go",0.01
"Haskell",0.12
"Java",-0.1
"Javascript",0.16
"Objective-C",0.31
"Perl",-0.01
"Php",-0.15
"Python",-0.23
"Ruby",-0.14
"Scala",-0.13
"Typescript",0.27
