"","coef","pVal"
"Intercept",-2.76,0
"log age",0.11,0
"log size",-0.01,0.605
"log devs",0.1,0.005
"log commits",1.05,0
"C",0.22,0.03
"C#",0.01,0.956
"C++",0.18,0.064
"Clojure",-0.07,0.524
"Coffeescript",0.28,0.006
"Erlang",0.04,0.731
"Go",0.06,0.579
"Haskell",-0.18,0.1
"Java",-0.33,0.001
"Javascript",-0.06,0.547
"Objective-C",-0.07,0.501
"Perl",0.15,0.144
"Php",-0.06,0.565
"Python",-0.16,0.131
"Ruby",-0.14,0.186
"Scala",-0.06,0.595
"Typescript",0.2,0.064
