"","coef","pVal"
"Intercept",-2.66,0
"log age",0.13,0
"log size",0,0.775
"log devs",0.16,0
"log commits",0.98,0
"C",0.07,0.493
"C#",0.03,0.756
"C++",0.21,0.026
"Clojure",-0.29,0.005
"Coffeescript",0.26,0.009
"Erlang",0.09,0.379
"Go",0.21,0.026
"Haskell",-0.2,0.063
"Java",-0.09,0.393
"Javascript",-0.09,0.388
"Objective-C",-0.11,0.299
"Perl",-0.12,0.237
"Php",0.14,0.153
"Python",0.16,0.092
"Ruby",-0.06,0.569
"Scala",-0.27,0.008
"Typescript",0.04,0.698
