"","coef"
"Intercept",-2.77
"log age",0.18
"log size",-0.01
"log devs",0.24
"log commits",0.98
"C",-0.17
"C++",-0.14
"Clojure",-0.14
"Coffeescript",0.08
"Erlang",0.01
"Go",0.23
"Haskell",0.08
"Java",-0.13
"Javascript",0.23
"Objective-C",0.22
"Perl",-0.18
"Php",0.11
"Python",-0.13
"Ruby",-0.15
"Scala",-0.23
"Typescript",0.31
