"","coef","pVal"
"Intercept",-2.73,0
"log age",0.13,0
"log size",-0.02,0.265
"log devs",0.13,0
"log commits",1.03,0
"C",0.16,0.142
"C#",-0.01,0.902
"C++",0.23,0.032
"Clojure",-0.24,0.038
"Coffeescript",0.22,0.046
"Erlang",-0.08,0.491
"Go",0.25,0.025
"Haskell",-0.19,0.1
"Java",-0.07,0.526
"Javascript",-0.09,0.463
"Objective-C",0.06,0.607
"Perl",0.09,0.407
"Php",-0.01,0.938
"Python",-0.22,0.056
"Ruby",-0.06,0.602
"Scala",-0.14,0.198
"Typescript",0.1,0.374
