"","coef","pVal"
"Intercept",-2.8,0
"log age",0.11,0
"log size",0,0.989
"log devs",0.06,0.095
"log commits",1.05,0
"C",0.25,0.017
"C#",-0.04,0.716
"C++",0.09,0.416
"Clojure",-0.36,0.002
"Coffeescript",0.15,0.173
"Erlang",0.2,0.067
"Go",0.11,0.307
"Haskell",-0.27,0.014
"Java",-0.06,0.598
"Javascript",0.1,0.371
"Objective-C",0.06,0.598
"Perl",0.04,0.71
"Php",-0.05,0.625
"Python",-0.12,0.265
"Ruby",-0.21,0.057
"Scala",-0.08,0.488
"Typescript",0.2,0.081
