"","coef","pVal"
"Intercept",-2.6,0
"log age",0.1,0
"log size",-0.03,0.095
"log devs",0.15,0
"log commits",1.06,0
"C",0.04,0.705
"C#",0.08,0.448
"C++",0.08,0.416
"Clojure",-0.15,0.182
"Coffeescript",0.28,0.007
"Erlang",-0.02,0.845
"Go",0.1,0.336
"Haskell",-0.25,0.022
"Java",0.1,0.356
"Javascript",-0.1,0.385
"Objective-C",-0.15,0.167
"Perl",0.2,0.061
"Php",-0.02,0.85
"Python",0.15,0.145
"Ruby",-0.3,0.006
"Scala",-0.28,0.012
"Typescript",0.24,0.027
