"","coef"
"Intercept",-2.58
"log age",0.16
"log size",-0.05
"log devs",0.24
"log commits",1.04
"C",0.12
"C++",0.18
"Clojure",-0.01
"Coffeescript",0.02
"Erlang",-0.35
"Go",0.13
"Haskell",-0.16
"Java",-0.14
"Javascript",-0.03
"Objective-C",0.16
"Perl",0.05
"Php",0.21
"Python",0.18
"Ruby",-0.23
"Scala",-0.2
"Typescript",0.06
