"","coef"
"Intercept",-2.19
"log age",0.13
"log size",-0.05
"log devs",0.23
"log commits",1.02
"C",0.13
"C++",-0.03
"Clojure",-0.34
"Coffeescript",0.12
"Erlang",0.19
"Go",0.21
"Haskell",-0.27
"Java",-0.06
"Javascript",-0.06
"Objective-C",0
"Perl",-0.12
"Php",0.06
"Python",0.12
"Ruby",-0.24
"Scala",-0.08
"Typescript",0.36
