"","coef","pVal"
"Intercept",-2.61,0
"log age",0.13,0
"log size",-0.03,0.06
"log devs",0.13,0.001
"log commits",1.04,0
"C",0.31,0.006
"C#",-0.09,0.478
"C++",0.13,0.311
"Clojure",-0.25,0.029
"Coffeescript",0.35,0.003
"Erlang",0.03,0.792
"Go",0.14,0.238
"Haskell",-0.24,0.044
"Java",0.07,0.578
"Javascript",-0.24,0.085
"Objective-C",-0.06,0.608
"Perl",0.16,0.112
"Php",0.12,0.273
"Python",0.13,0.256
"Ruby",-0.2,0.092
"Scala",-0.25,0.027
"Typescript",-0.1,0.538
