"","coef","pVal"
"Intercept",-2.91,0
"log age",0.12,0
"log size",-0.01,0.567
"log devs",0,0.907
"log commits",1.13,0
"C",0.31,0.013
"C#",0.28,0.013
"C++",-0.08,0.544
"Clojure",-0.34,0.009
"Coffeescript",-0.02,0.837
"Erlang",0.16,0.196
"Go",0.25,0.023
"Haskell",-0.37,0.001
"Java",0,0.993
"Javascript",-0.02,0.912
"Objective-C",0.27,0.017
"Perl",-0.23,0.061
"Php",-0.16,0.206
"Python",0.3,0.014
"Ruby",-0.24,0.071
"Scala",-0.14,0.269
"Typescript",0.04,0.781
