"","coef","pVal"
"Intercept",-2.25,0
"log age",0.11,0
"log size",-0.04,0.003
"log devs",0.1,0.01
"log commits",1.05,0
"C",0.1,0.422
"C#",0.19,0.107
"C++",0.25,0.027
"Clojure",-0.32,0.011
"Coffeescript",0.09,0.475
"Erlang",-0.2,0.106
"Go",0.18,0.136
"Haskell",-0.22,0.059
"Java",0.16,0.164
"Javascript",-0.12,0.442
"Objective-C",0.03,0.821
"Perl",-0.05,0.671
"Php",0.16,0.17
"Python",-0.19,0.128
"Ruby",-0.14,0.294
"Scala",0.05,0.662
"Typescript",0.03,0.851
