"","coef"
"Intercept",-2.41
"log age",0.12
"log size",-0.02
"log devs",0.17
"log commits",1
"C",0
"C++",-0.19
"Clojure",-0.3
"Coffeescript",0.22
"Erlang",0.25
"Go",0.28
"Haskell",-0.04
"Java",0.11
"Javascript",0.09
"Objective-C",0.09
"Perl",-0.12
"Php",-0.07
"Python",-0.19
"Ruby",-0.2
"Scala",-0.21
"Typescript",0.29
