"","coef"
"Intercept",-2.61
"log age",0.17
"log size",-0.02
"log devs",0.1
"log commits",1.01
"C",0.03
"C++",0.04
"Clojure",-0.26
"Coffeescript",0.18
"Erlang",0.19
"Go",0.2
"Haskell",-0.34
"Java",-0.03
"Javascript",-0.13
"Objective-C",-0.04
"Perl",0.11
"Php",0.17
"Python",0.04
"Ruby",-0.39
"Scala",-0.07
"Typescript",0.31
