"","coef"
"Intercept",-2.57
"log age",0.14
"log size",0
"log devs",0.16
"log commits",0.97
"C",0.16
"C++",-0.02
"Clojure",-0.45
"Coffeescript",0.29
"Erlang",0.14
"Go",0.11
"Haskell",-0.53
"Java",0.08
"Javascript",-0.07
"Objective-C",-0.21
"Perl",0.12
"Php",0.17
"Python",-0.07
"Ruby",-0.11
"Scala",-0.03
"Typescript",0.43
