"","coef"
"Intercept",-2.5
"log age",0.16
"log size",-0.02
"log devs",0.08
"log commits",1.02
"C",0.12
"C++",0.1
"Clojure",-0.43
"Coffeescript",-0.02
"Erlang",0.14
"Go",0.12
"Haskell",-0.15
"Java",0.06
"Javascript",0.07
"Objective-C",0
"Perl",-0.09
"Php",0.05
"Python",-0.19
"Ruby",-0.04
"Scala",-0.21
"Typescript",0.48
