"","coef","pVal"
"Intercept",-2.55,0
"log age",0.11,0
"log size",-0.06,0.001
"log devs",0.04,0.372
"log commits",1.14,0
"C",-0.01,0.959
"C#",0.06,0.634
"C++",0.25,0.035
"Clojure",-0.27,0.029
"Coffeescript",0.09,0.489
"Erlang",0.14,0.291
"Go",0.3,0.011
"Haskell",-0.42,0.002
"Java",-0.05,0.715
"Javascript",-0.01,0.955
"Objective-C",0.12,0.365
"Perl",0.13,0.325
"Php",0.14,0.287
"Python",0.1,0.435
"Ruby",-0.26,0.078
"Scala",-0.37,0.007
"Typescript",0.05,0.77
