"","coef"
"Intercept",-2.33
"log age",0.13
"log size",-0.03
"log devs",0.18
"log commits",0.99
"C",0.14
"C++",0.05
"Clojure",-0.33
"Coffeescript",0.18
"Erlang",0.12
"Go",0.08
"Haskell",-0.44
"Java",0.04
"Javascript",0.03
"Objective-C",-0.13
"Perl",0.08
"Php",0.11
"Python",0.06
"Ruby",-0.26
"Scala",0
"Typescript",0.25
