"","coef","pVal"
"Intercept",-2.61,0
"log age",0.09,0
"log size",-0.01,0.342
"log devs",0.05,0.19
"log commits",1.1,0
"C",0.09,0.466
"C#",0.15,0.196
"C++",-0.06,0.619
"Clojure",-0.24,0.034
"Coffeescript",0.08,0.486
"Erlang",0.19,0.098
"Go",-0.11,0.32
"Haskell",-0.17,0.143
"Java",-0.13,0.349
"Javascript",0.1,0.467
"Objective-C",-0.03,0.775
"Perl",0.11,0.327
"Php",0.11,0.326
"Python",0.03,0.855
"Ruby",-0.01,0.965
"Scala",-0.08,0.508
"Typescript",-0.02,0.875
