"","coef"
"Intercept",-2.44
"log age",0.15
"log size",-0.03
"log devs",0.16
"log commits",1
"C",0.19
"C++",0.12
"Clojure",-0.49
"Coffeescript",0.22
"Erlang",0.21
"Go",0.31
"Haskell",-0.2
"Java",0.15
"Javascript",-0.08
"Objective-C",-0.06
"Perl",-0.14
"Php",0.19
"Python",-0.3
"Ruby",-0.08
"Scala",-0.46
"Typescript",0.43
