"","coef"
"Intercept",-2.42
"log age",0.13
"log size",-0.02
"log devs",0.15
"log commits",1.02
"C",0.13
"C++",-0.08
"Clojure",-0.25
"Coffeescript",0.33
"Erlang",0.01
"Go",0.07
"Haskell",-0.25
"Java",0.03
"Javascript",-0.25
"Objective-C",0.2
"Perl",0.23
"Php",-0.19
"Python",0.01
"Ruby",-0.24
"Scala",-0.05
"Typescript",0.29
