"","coef","pVal"
"Intercept",-2.63,0
"log age",0.11,0
"log size",-0.03,0.037
"log devs",0.12,0.001
"log commits",1.08,0
"C",0.28,0.007
"C#",0,0.999
"C++",0.27,0.024
"Clojure",-0.26,0.028
"Coffeescript",-0.07,0.618
"Erlang",0.21,0.068
"Go",0.04,0.726
"Haskell",-0.19,0.087
"Java",-0.2,0.082
"Javascript",-0.26,0.085
"Objective-C",0.06,0.581
"Perl",0.04,0.699
"Php",0.13,0.228
"Python",-0.04,0.708
"Ruby",0.21,0.105
"Scala",-0.29,0.011
"Typescript",0.08,0.54
