"","coef","pVal"
"Intercept",-2.42,0
"log age",0.12,0
"log size",-0.06,0.001
"log devs",0.09,0.026
"log commits",1.09,0
"C",0.31,0.009
"C#",-0.14,0.21
"C++",0.15,0.226
"Clojure",-0.23,0.035
"Coffeescript",-0.03,0.794
"Erlang",0.02,0.86
"Go",0.13,0.242
"Haskell",-0.42,0.001
"Java",0.06,0.649
"Javascript",-0.11,0.452
"Objective-C",0.24,0.039
"Perl",0.19,0.099
"Php",-0.07,0.552
"Python",-0.01,0.912
"Ruby",-0.12,0.317
"Scala",0.01,0.92
"Typescript",0.04,0.787
