"","coef","pVal"
"Intercept",-2.36,0
"log age",0.07,0.001
"log size",-0.04,0.005
"log devs",0.16,0
"log commits",1.09,0
"C",0.2,0.081
"C#",0.01,0.938
"C++",0.15,0.197
"Clojure",-0.18,0.116
"Coffeescript",0.01,0.904
"Erlang",-0.17,0.142
"Go",0.14,0.191
"Haskell",-0.29,0.011
"Java",0.21,0.049
"Javascript",0.05,0.713
"Objective-C",0.12,0.297
"Perl",-0.08,0.517
"Php",-0.1,0.409
"Python",0.1,0.438
"Ruby",-0.09,0.455
"Scala",-0.12,0.316
"Typescript",0.02,0.881
