"","coef","pVal"
"Intercept",-2.39,0
"log age",0.1,0
"log size",-0.04,0.008
"log devs",0.08,0.037
"log commits",1.09,0
"C",0.18,0.123
"C#",-0.22,0.07
"C++",0.09,0.414
"Clojure",-0.24,0.041
"Coffeescript",0.24,0.049
"Erlang",-0.04,0.747
"Go",-0.06,0.579
"Haskell",-0.29,0.013
"Java",-0.05,0.702
"Javascript",-0.13,0.343
"Objective-C",0.14,0.23
"Perl",0.24,0.044
"Php",-0.01,0.94
"Python",0.33,0.004
"Ruby",-0.06,0.66
"Scala",-0.17,0.125
"Typescript",0.06,0.684
