"","coef"
"Intercept",-2.4
"log age",0.16
"log size",-0.03
"log devs",0.18
"log commits",0.97
"C",0.11
"C++",0.01
"Clojure",-0.15
"Coffeescript",0.28
"Erlang",0.27
"Go",0.07
"Haskell",-0.21
"Java",0.05
"Javascript",-0.25
"Objective-C",0.06
"Perl",-0.15
"Php",0.13
"Python",-0.15
"Ruby",-0.23
"Scala",-0.29
"Typescript",0.44
