"","coef","pVal"
"Intercept",-2.06,0
"log age",0.12,0
"log size",-0.09,0
"log devs",0.12,0.001
"log commits",1.09,0
"C",0.05,0.683
"C#",-0.13,0.291
"C++",0.1,0.393
"Clojure",-0.16,0.162
"Coffeescript",0.12,0.304
"Erlang",0.23,0.05
"Go",0.08,0.471
"Haskell",-0.28,0.013
"Java",0.02,0.896
"Javascript",-0.01,0.941
"Objective-C",0.09,0.41
"Perl",-0.11,0.328
"Php",0.03,0.782
"Python",-0.01,0.939
"Ruby",-0.14,0.284
"Scala",-0.15,0.163
"Typescript",0.28,0.052
