"","coef"
"Intercept",-2.29
"log age",0.13
"log size",-0.05
"log devs",0.06
"log commits",1.07
"C",0.05
"C++",0.3
"Clojure",-0.36
"Coffeescript",0.23
"Erlang",0.16
"Go",0.17
"Haskell",-0.34
"Java",0.15
"Javascript",-0.18
"Objective-C",-0.1
"Perl",0.05
"Php",0.09
"Python",-0.09
"Ruby",-0.07
"Scala",-0.12
"Typescript",0.07
