"","coef","pVal"
"Intercept",-2.6,0
"log age",0.11,0
"log size",-0.02,0.125
"log devs",0.13,0.001
"log commits",1.05,0
"C",0.12,0.278
"C#",0.09,0.423
"C++",0.14,0.228
"Clojure",-0.12,0.295
"Coffeescript",0.23,0.058
"Erlang",0.08,0.499
"Go",0.16,0.159
"Haskell",-0.29,0.01
"Java",-0.16,0.202
"Javascript",-0.04,0.756
"Objective-C",-0.02,0.895
"Perl",-0.22,0.075
"Php",-0.01,0.957
"Python",0.07,0.551
"Ruby",-0.04,0.727
"Scala",0,0.999
"Typescript",0.01,0.95
