"","coef"
"Intercept",-2.08
"log age",0.1
"log size",-0.05
"log devs",0.21
"log commits",1.01
"C",-0.04
"C++",0.03
"Clojure",-0.37
"Coffeescript",-0.02
"Erlang",0.12
"Go",0.11
"Haskell",-0.11
"Java",-0.22
"Javascript",0.02
"Objective-C",0.07
"Perl",0.08
"Php",0.11
"Python",0.01
"Ruby",-0.06
"Scala",-0.03
"Typescript",0.29
