"","coef"
"Intercept",-2.2
"log age",0.13
"log size",-0.05
"log devs",0.15
"log commits",1.04
"C",0.22
"C++",0.19
"Clojure",0
"Coffeescript",0.06
"Erlang",0.08
"Go",0.15
"Haskell",-0.2
"Java",-0.21
"Javascript",-0.07
"Objective-C",-0.17
"Perl",-0.12
"Php",0.09
"Python",-0.05
"Ruby",-0.15
"Scala",-0.15
"Typescript",0.33
