"","coef","pVal"
"Intercept",-2.34,0
"log age",0.11,0
"log size",-0.05,0.006
"log devs",0.11,0.006
"log commits",1.06,0
"C",0.2,0.109
"C#",0.11,0.307
"C++",0.29,0.009
"Clojure",-0.27,0.019
"Coffeescript",0.07,0.564
"Erlang",0.2,0.093
"Go",0.22,0.055
"Haskell",-0.26,0.026
"Java",-0.02,0.848
"Javascript",-0.38,0.02
"Objective-C",0.37,0.002
"Perl",-0.1,0.402
"Php",-0.1,0.415
"Python",0.09,0.481
"Ruby",-0.26,0.086
"Scala",-0.03,0.791
"Typescript",-0.14,0.313
