"","coef","pVal"
"Intercept",-2.57,0
"log age",0.12,0
"log size",-0.03,0.049
"log devs",0.09,0.01
"log commits",1.07,0
"C",0,0.969
"C#",-0.02,0.82
"C++",0.15,0.164
"Clojure",-0.18,0.095
"Coffeescript",0.05,0.657
"Erlang",0.23,0.037
"Go",0.01,0.952
"Haskell",-0.27,0.011
"Java",0.08,0.479
"Javascript",-0.44,0.005
"Objective-C",0.17,0.122
"Perl",0.04,0.75
"Php",0.35,0.001
"Python",0,0.976
"Ruby",-0.16,0.241
"Scala",-0.09,0.398
"Typescript",0.07,0.611
