"","coef"
"Intercept",-2.29
"log age",0.13
"log size",-0.04
"log devs",0.14
"log commits",1.04
"C",0.23
"C++",0.19
"Clojure",-0.36
"Coffeescript",-0.05
"Erlang",0.05
"Go",0.18
"Haskell",-0.32
"Java",0.2
"Javascript",0.06
"Objective-C",-0.21
"Perl",-0.01
"Php",0.05
"Python",0.2
"Ruby",-0.28
"Scala",0
"Typescript",0.06
