"","coef"
"Intercept",-2.6
"log age",0.14
"log size",-0.01
"log devs",0.1
"log commits",1.02
"C",0.17
"C++",0.17
"Clojure",-0.4
"Coffeescript",-0.01
"Erlang",-0.04
"Go",0.04
"Haskell",-0.16
"Java",0
"Javascript",0.08
"Objective-C",0.02
"Perl",0.12
"Php",0.17
"Python",0.03
"Ruby",-0.13
"Scala",0.08
"Typescript",-0.15
