"","coef","pVal"
"Intercept",-2.37,0
"log age",0.09,0
"log size",-0.02,0.184
"log devs",0.1,0.009
"log commits",1.05,0
"C",0.14,0.241
"C#",0.08,0.474
"C++",0.11,0.29
"Clojure",-0.34,0.003
"Coffeescript",0.07,0.528
"Erlang",-0.15,0.223
"Go",0.2,0.072
"Haskell",-0.18,0.083
"Java",0.03,0.799
"Javascript",0.02,0.861
"Objective-C",0.15,0.193
"Perl",-0.06,0.572
"Php",0.11,0.33
"Python",0.04,0.734
"Ruby",-0.05,0.74
"Scala",-0.03,0.786
"Typescript",-0.14,0.308
