"","coef","pVal"
"Intercept",-2.39,0
"log age",0.09,0
"log size",-0.05,0.002
"log devs",0.07,0.044
"log commits",1.12,0
"C",0.07,0.529
"C#",-0.18,0.115
"C++",0.28,0.013
"Clojure",-0.2,0.079
"Coffeescript",0.05,0.686
"Erlang",0.09,0.452
"Go",0.19,0.092
"Haskell",-0.28,0.008
"Java",-0.11,0.381
"Javascript",-0.08,0.59
"Objective-C",0.02,0.841
"Perl",0.04,0.702
"Php",0.06,0.603
"Python",0.2,0.072
"Ruby",-0.02,0.908
"Scala",-0.2,0.07
"Typescript",0.06,0.686
