"","coef"
"Intercept",-2.56
"log age",0.17
"log size",-0.04
"log devs",0.08
"log commits",1.06
"C",0.2
"C++",0.03
"Clojure",-0.34
"Coffeescript",0.11
"Erlang",0.41
"Go",0.08
"Haskell",-0.27
"Java",0.21
"Javascript",0.2
"Objective-C",-0.08
"Perl",-0.11
"Php",-0.04
"Python",0.05
"Ruby",-0.16
"Scala",-0.14
"Typescript",-0.16
