"","coef"
"Intercept",-2.63
"log age",0.16
"log size",-0.02
"log devs",0.08
"log commits",1.03
"C",0.23
"C++",0.22
"Clojure",-0.59
"Coffeescript",-0.21
"Erlang",0.12
"Go",0.03
"Haskell",-0.32
"Java",-0.09
"Javascript",0.35
"Objective-C",0.09
"Perl",0.07
"Php",0.28
"Python",0.22
"Ruby",-0.09
"Scala",-0.14
"Typescript",-0.16
