"","coef","pVal"
"Intercept",-2.63,0
"log age",0.09,0
"log size",0,0.77
"log devs",0.09,0.011
"log commits",1.06,0
"C",0.29,0.005
"C#",-0.18,0.109
"C++",0.26,0.008
"Clojure",-0.11,0.291
"Coffeescript",0.15,0.21
"Erlang",0.09,0.433
"Go",0.16,0.142
"Haskell",-0.29,0.006
"Java",-0.09,0.436
"Javascript",-0.12,0.345
"Objective-C",0.22,0.034
"Perl",0.12,0.269
"Php",0.08,0.422
"Python",0.16,0.115
"Ruby",-0.23,0.072
"Scala",-0.16,0.14
"Typescript",-0.33,0.012
