"","coef","pVal"
"Intercept",-2.5,0
"log age",0.09,0
"log size",-0.02,0.227
"log devs",0.06,0.104
"log commits",1.08,0
"C",0.08,0.497
"C#",0.1,0.365
"C++",0.15,0.143
"Clojure",-0.37,0.002
"Coffeescript",0.17,0.152
"Erlang",0.34,0.003
"Go",0.11,0.274
"Haskell",-0.02,0.875
"Java",0.13,0.264
"Javascript",-0.04,0.788
"Objective-C",0.01,0.953
"Perl",-0.18,0.118
"Php",0,0.971
"Python",0.17,0.185
"Ruby",-0.34,0.007
"Scala",0.1,0.386
"Typescript",-0.4,0.013
