"","coef","pVal"
"Intercept",-2.37,0
"log age",0.1,0
"log size",-0.03,0.025
"log devs",0.11,0.002
"log commits",1.07,0
"C",0.13,0.254
"C#",0.07,0.559
"C++",0.08,0.436
"Clojure",-0.23,0.034
"Coffeescript",0.07,0.587
"Erlang",0.03,0.756
"Go",0.18,0.099
"Haskell",-0.36,0.001
"Java",-0.08,0.423
"Javascript",0.27,0.035
"Objective-C",0.04,0.671
"Perl",-0.02,0.855
"Php",0.33,0.001
"Python",-0.01,0.924
"Ruby",-0.16,0.21
"Scala",-0.46,0
"Typescript",0.11,0.327
