"","coef"
"Intercept",-2.45
"log age",0.11
"log size",-0.02
"log devs",0.05
"log commits",1.08
"C",0.2
"C++",0.23
"Clojure",-0.42
"Coffeescript",0.14
"Erlang",0.02
"Go",0.11
"Haskell",-0.16
"Java",0.06
"Javascript",0.08
"Objective-C",0.1
"Perl",0.09
"Php",-0.04
"Python",0.07
"Ruby",-0.22
"Scala",-0.09
"Typescript",-0.18
