"","coef"
"Intercept",-2.6
"log age",0.14
"log size",-0.01
"log devs",0.11
"log commits",1.03
"C",0.17
"C++",0
"Clojure",-0.38
"Coffeescript",-0.17
"Erlang",0.15
"Go",0.16
"Haskell",-0.21
"Java",0.01
"Javascript",-0.15
"Objective-C",-0.05
"Perl",0.2
"Php",0.36
"Python",0.17
"Ruby",-0.19
"Scala",-0.01
"Typescript",-0.07
