"","coef"
"Intercept",-2.63
"log age",0.15
"log size",-0.03
"log devs",0.16
"log commits",1.04
"C",0.31
"C++",0.16
"Clojure",-0.1
"Coffeescript",0.04
"Erlang",0.01
"Go",0.02
"Haskell",-0.28
"Java",-0.18
"Javascript",0.08
"Objective-C",0.05
"Perl",-0.06
"Php",0.15
"Python",-0.1
"Ruby",-0.05
"Scala",-0.25
"Typescript",0.2
