"","coef","pVal"
"Intercept",-2.36,0
"log age",0.1,0
"log size",-0.04,0.006
"log devs",0.16,0
"log commits",1.05,0
"C",0.15,0.144
"C#",-0.11,0.306
"C++",-0.09,0.375
"Clojure",-0.42,0
"Coffeescript",0.37,0
"Erlang",0.07,0.468
"Go",0.1,0.345
"Haskell",-0.44,0
"Java",-0.14,0.189
"Javascript",-0.16,0.147
"Objective-C",0.23,0.027
"Perl",-0.06,0.59
"Php",0.16,0.111
"Python",-0.06,0.55
"Ruby",0.09,0.383
"Scala",0.01,0.951
"Typescript",0.3,0.004
