"","coef","pVal"
"Intercept",-2.54,0
"log age",0.11,0
"log size",-0.02,0.248
"log devs",0.1,0.002
"log commits",1.04,0
"C",0.15,0.151
"C#",-0.04,0.74
"C++",0.04,0.726
"Clojure",-0.18,0.102
"Coffeescript",0.14,0.177
"Erlang",0.05,0.663
"Go",0.08,0.444
"Haskell",-0.35,0.002
"Java",-0.14,0.192
"Javascript",-0.09,0.432
"Objective-C",0.19,0.072
"Perl",-0.08,0.485
"Php",0.01,0.916
"Python",0.06,0.569
"Ruby",-0.02,0.837
"Scala",-0.17,0.115
"Typescript",0.33,0.002
