"","coef"
"Intercept",-3.1
"log age",0.24
"log size",-0.04
"log devs",0.16
"log commits",1.02
"C",0.07
"C++",0.22
"Clojure",-0.1
"Coffeescript",0.21
"Erlang",-0.07
"Go",0.12
"Haskell",-0.23
"Java",0
"Javascript",-0.01
"Objective-C",-0.07
"Perl",-0.13
"Php",0.07
"Python",0
"Ruby",-0.23
"Scala",-0.04
"Typescript",0.21
