"","coef","pVal"
"Intercept",-2.35,0
"log age",0.09,0
"log size",-0.04,0.016
"log devs",0.14,0
"log commits",1.05,0
"C",0.21,0.048
"C#",-0.03,0.798
"C++",0.13,0.199
"Clojure",-0.26,0.018
"Coffeescript",0.13,0.227
"Erlang",0.23,0.029
"Go",-0.11,0.32
"Haskell",-0.04,0.678
"Java",-0.08,0.474
"Javascript",0.13,0.213
"Objective-C",-0.14,0.212
"Perl",0.02,0.838
"Php",0.01,0.93
"Python",0.16,0.131
"Ruby",-0.26,0.024
"Scala",-0.23,0.043
"Typescript",0.12,0.316
