"","coef","pVal"
"Intercept",-2.48,0
"log age",0.12,0
"log size",-0.03,0.043
"log devs",0.07,0.039
"log commits",1.06,0
"C",0.09,0.364
"C#",0.09,0.407
"C++",0.15,0.136
"Clojure",-0.27,0.016
"Coffeescript",0.21,0.041
"Erlang",0.02,0.864
"Go",0.18,0.085
"Haskell",-0.27,0.012
"Java",0.08,0.437
"Javascript",0.08,0.487
"Objective-C",-0.14,0.206
"Perl",0.08,0.455
"Php",-0.1,0.339
"Python",0.1,0.363
"Ruby",-0.24,0.035
"Scala",-0.14,0.195
"Typescript",0.08,0.439
