"","coef"
"Intercept",-2.79
"log age",0.18
"log size",-0.02
"log devs",0.16
"log commits",1.02
"C",-0.07
"C++",-0.04
"Clojure",-0.11
"Coffeescript",0.01
"Erlang",0.16
"Go",0
"Haskell",0.02
"Java",0.07
"Javascript",0.1
"Objective-C",0.13
"Perl",0.06
"Php",0.06
"Python",-0.35
"Ruby",-0.1
"Scala",-0.18
"Typescript",0.25
