"","coef"
"Intercept",-2.83
"log age",0.22
"log size",-0.01
"log devs",0.13
"log commits",0.96
"C",-0.01
"C++",0.09
"Clojure",-0.31
"Coffeescript",0.16
"Erlang",0.04
"Go",0.1
"Haskell",-0.36
"Java",-0.13
"Javascript",-0.06
"Objective-C",0.15
"Perl",0.01
"Php",0.11
"Python",-0.05
"Ruby",0.1
"Scala",-0.02
"Typescript",0.18
