"","coef","pVal"
"Intercept",-2.53,0
"log age",0.11,0
"log size",-0.02,0.246
"log devs",0.11,0.001
"log commits",1.03,0
"C",0.08,0.412
"C#",0.18,0.082
"C++",-0.04,0.688
"Clojure",-0.23,0.035
"Coffeescript",0.08,0.428
"Erlang",0.17,0.106
"Go",0.11,0.291
"Haskell",-0.25,0.024
"Java",-0.29,0.006
"Javascript",0.1,0.344
"Objective-C",-0.1,0.355
"Perl",0.14,0.174
"Php",0.28,0.006
"Python",0,0.966
"Ruby",-0.16,0.125
"Scala",-0.21,0.046
"Typescript",0.14,0.239
