"","coef","pVal"
"Intercept",-2.55,0
"log age",0.09,0
"log size",0,0.781
"log devs",0.15,0
"log commits",1.02,0
"C",0.04,0.695
"C#",0.04,0.702
"C++",0.13,0.21
"Clojure",-0.23,0.03
"Coffeescript",0.32,0.001
"Erlang",0.02,0.809
"Go",0.13,0.221
"Haskell",-0.21,0.043
"Java",-0.14,0.174
"Javascript",-0.08,0.482
"Objective-C",-0.1,0.347
"Perl",-0.07,0.484
"Php",0.2,0.048
"Python",-0.21,0.05
"Ruby",0.04,0.72
"Scala",-0.15,0.159
"Typescript",0.28,0.007
