"","coef","pVal"
"Intercept",-2.35,0
"log age",0.06,0.001
"log size",-0.02,0.22
"log devs",0.17,0
"log commits",1.05,0
"C",0.23,0.022
"C#",-0.05,0.655
"C++",0.02,0.868
"Clojure",-0.24,0.023
"Coffeescript",0.11,0.289
"Erlang",0.22,0.028
"Go",0.26,0.009
"Haskell",-0.3,0.004
"Java",-0.04,0.665
"Javascript",0.03,0.794
"Objective-C",-0.12,0.254
"Perl",0.1,0.351
"Php",-0.06,0.556
"Python",-0.06,0.558
"Ruby",0.04,0.736
"Scala",-0.35,0.001
"Typescript",0.22,0.038
