"","coef","pVal"
"Intercept",-2.46,0
"log age",0.1,0
"log size",-0.02,0.202
"log devs",0.15,0
"log commits",1.02,0
"C",0.41,0
"C#",-0.14,0.188
"C++",0.23,0.017
"Clojure",-0.08,0.453
"Coffeescript",0.06,0.546
"Erlang",0.14,0.137
"Go",0.08,0.41
"Haskell",-0.16,0.105
"Java",-0.09,0.362
"Javascript",0,0.971
"Objective-C",-0.16,0.111
"Perl",0.21,0.033
"Php",0,0.985
"Python",-0.15,0.145
"Ruby",-0.17,0.099
"Scala",-0.32,0.001
"Typescript",0.14,0.17
