"","coef"
"Intercept",-2.42
"log age",0.14
"log size",-0.04
"log devs",0.13
"log commits",1.05
"C",0.17
"C++",0.1
"Clojure",-0.2
"Coffeescript",-0.17
"Erlang",-0.3
"Go",0.07
"Haskell",-0.17
"Java",0.02
"Javascript",0.03
"Objective-C",0.22
"Perl",0.22
"Php",0.16
"Python",0.1
"Ruby",-0.17
"Scala",-0.17
"Typescript",0.09
