"","coef","pVal"
"Intercept",-2.36,0
"log age",0.1,0
"log size",-0.04,0.005
"log devs",0.09,0.003
"log commits",1.07,0
"C",0.25,0.011
"C#",0.05,0.601
"C++",-0.08,0.419
"Clojure",-0.21,0.043
"Coffeescript",0.18,0.065
"Erlang",0.02,0.807
"Go",0.26,0.006
"Haskell",-0.44,0
"Java",-0.25,0.013
"Javascript",0.07,0.503
"Objective-C",0.12,0.257
"Perl",0.16,0.102
"Php",-0.2,0.055
"Python",0.02,0.875
"Ruby",-0.09,0.372
"Scala",0.07,0.501
"Typescript",0.08,0.467
